Total images: 18594
Total colony/year combos: 1041

Colony                                             Year   Count
-----------------------------------------------------------------
Gaillard_Island                                    2015   410
Gaillard_Island                                    2021   360
Raccoon_Island                                     2015   296
Raccoon_Island                                     2021   292
Raccoon_Island                                     2011   249
Gaillard_Island                                    2013   244
Gaillard_Island                                    2011   238
Half_Moon_Island                                   2013   226
Gaillard_Island                                    2012   224
Gaillard_Island                                    2010   212
Raccoon_Island                                     2018   199
Breton_Island                                      2023   184
Rabbit_Island                                      2021   184
Houma_Navigation_Canal_Island                      2015   178
Queen_Bess_Island                                  2010   175
Raccoon_Island                                     2012   166
Breton_Island                                      2010   162
Half_Moon_Island                                   2015   158
North_Deer_Island                                  2010   150
North_Deer_Island                                  2021   148
Felicity_Island                                    2015   140
Raccoon_Island                                     2013   135
Belle_Isle                                         2015   133
Breton_Island                                      2015   131
New_Harbor_Island_3                                2015   121
Queen_Bess_Island                                  2015   118
Raccoon_Island                                     2010   115
Shamrock_Island                                    2021   110
Queen_Bess_Island                                  2011   107
Breton_Island                                      2022   105
Belle_Isle                                         2018   104
Rabbit_Island                                      2018   102
Houma_Navigation_Canal_Island                      2018   99
Breton_Island                                      2021   96
Queen_Bess_Island                                  2018   93
Dry_Bread_Island                                   2015   92
Breton_Island                                      2018   91
South_Deer_Island                                  2021   89
Philo_Brice_Islands                                2018   87
Queen_Bess_Island                                  2021   86
Breton_Island                                      2011   85
Queen_Bess_Island                                  2012   85
Queen_Bess_Island                                  2013   84
Breton_Island                                      2012   83
Felicity_Island                                    2011   83
Half_Moon_Island                                   2011   83
Gunn_Island                                        2021   79
Philo_Brice_Islands                                2021   79
Rabbit_Island                                      2010   79
Door_Point_Lagoon_2                                2015   78
Biloxi_North_12                                    2021   77
Bush_and_Long_Keys                                 2010   77
Belle_Isle                                         2013   74
Martin_Island                                      2010   72
Bayou_Pintou                                       2021   71
Dry_Bread_Island                                   2011   70
Raccoon_Island_West                                2011   70
Breton_Island                                      2013   69
Biloxi_South_3                                     2015   65
Chester_Island                                     2021   65
New_Harbor_Island_3                                2018   65
Saint_George_Causeway                              2015   63
Half_Moon_Island                                   2018   62
Door_Point_Lagoon_1                                2015   61
Drum_Bay_Island                                    2011   61
Marker_52_Spoil_Island                             2010   61
New_Harbor_Island_3                                2021   61
Skimmer_Island                                     2015   61
Hell_Pass_Coast                                    2013   60
Felicity_Island                                    2018   59
Saint_George_Causeway                              2021   59
West_Bay_Bird_Island                               2010   59
Felicity_Island                                    2013   58
Isle_au_Pitre                                      2018   58
Biloxi_North_38                                    2021   56
Ship_Island                                        2021   56
Drum_Bay_Island                                    2012   55
Deadman_Point                                      2012   53
Biloxi_North_7                                     2015   52
Felicity_Island                                    2012   52
Biloxi_North_35                                    2021   51
Drum_Bay_Island                                    2010   51
Houma_Navigation_Canal_Island                      2021   51
New_Harbor_Island_3                                2013   51
West_Bay_Mooring_Facility                          2021   51
Cat_Bay_Island                                     2010   50
Deadman_Point                                      2015   50
Hell_Pass_Coast                                    2011   50
Biloxi_North_38                                    2015   49
Biloxi_North_38                                    2018   49
Skimmer_Island                                     2011   49
West_Bay_Bird_Island_New                           2010   48
Bahia_Grande_C_East                                2021   47
Lanark_Reef_West                                   2021   47
Skimmer_Island                                     2013   46
Biloxi_South_3                                     2011   45
Hell_Pass_Coast_B                                  2015   45
New_Harbor_Island_3                                2011   45
Biloxi_South_2                                     2015   44
Bahia_Grande_C_Central                             2021   43
Biloxi_North_14                                    2015   43
Felicity_Island                                    2010   43
Belle_Isle                                         2011   42
Dry_Bread_Island                                   2012   42
Belle_Isle                                         2021   40
Biloxi_North_12                                    2018   40
Bird_Island_West                                   2018   40
Biloxi_South_3                                     2012   39
Houma_Navigation_Canal_Island                      2013   39
Seahorse_Key                                       2010   39
Mustang_Bayou_Island                               2010   38
Drum_Bay_Island                                    2013   37
Bird_Island_East                                   2021   36
Brush_Island                                       2011   36
Deadman_Point                                      2013   36
Gosier_Islands_North                               2018   36
Long_Bay_Island                                    2012   36
Deadman_Point                                      2011   35
Long_Bay_Island                                    2011   35
Sunken_Island                                      2010   35
Biloxi_North_16                                    2015   34
Dry_Bread_Island                                   2013   34
Green_Island                                       2021   34
Saint_George_Causeway                              2010   34
Cat_Bay_South_Island                               2011   33
3_Rooker_Key                                       2010   32
Biloxi_South_5_A                                   2011   32
Biloxi_South_5_B                                   2015   32
Little_Mud_Grass_Island_Northeast                  2015   32
Belle_Isle                                         2012   31
